FrameNo,head_x,head_y,left_shoulder_x,left_shoulder_y,left_elbow_x,left_elbow_y,right_shoulder_x,right_shoulder_y,right_elbow_x,right_elbow_y,left_hand_x,left_hand_y,right_hand_x,right_hand_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_foot_x,left_foot_y,right_foot_x,right_foot_y
10,0.02262568473815918,0.3318067193031311,0.2872859835624695,0.2866075038909912,0.3062502145767212,0.4917529225349426,0.07642772793769836,0.3356339633464813,0.0711987167596817,0.47523778676986694,0.22009515762329102,0.5594534873962402,0.05216550454497337,0.4551730155944824,0.402215838432312,0.6199176907539368,0.2402370572090149,0.5870293378829956,0.12291117012500763,0.4740174412727356,0.044206928461790085,0.5241310000419617,0.22012898325920105,0.7037112712860107,0.187039315700531,0.7142999172210693
11,0.014445598237216473,0.31982970237731934,0.28797921538352966,0.2890196740627289,0.29459816217422485,0.5450261831283569,0.10218283534049988,0.31763774156570435,0.10490732640028,0.4991699159145355,0.2221556156873703,0.6599383354187012,0.039476796984672546,0.37476786971092224,0.4028499722480774,0.6310651302337646,0.2566074728965759,0.6014631986618042,0.12413111329078674,0.5307238101959229,0.045750804245471954,0.5382378697395325,0.1916496455669403,0.7591782808303833,0.1665617674589157,0.7636064291000366
12,0.014122853986918926,0.3274678587913513,0.29049062728881836,0.28526782989501953,0.2960340082645416,0.5406712293624878,0.04838532209396362,0.35366082191467285,0.031137418001890182,0.5420259237289429,0.20458057522773743,0.6439769864082336,0.022838104516267776,0.5557811856269836,0.4017314314842224,0.6279267072677612,0.21907252073287964,0.6249727606773376,0.13801634311676025,0.46866723895072937,0.028988633304834366,0.5155408978462219,0.18633079528808594,0.7633930444717407,0.15509945154190063,0.7481393218040466
13,0.020036030560731888,0.3383714556694031,0.29181021451950073,0.2837713360786438,0.3239327073097229,0.5041000843048096,0.06176779791712761,0.3361719250679016,0.05068057030439377,0.5164192318916321,0.18993501365184784,0.548758864402771,0.016196005046367645,0.5418685674667358,0.4196643531322479,0.6032605171203613,0.24359741806983948,0.6017323732376099,0.1377638876438141,0.4927802085876465,0.043396055698394775,0.5215274095535278,0.17899833619594574,0.7843198180198669,0.1632097363471985,0.785719096660614
14,0.01839827001094818,0.323203444480896,0.289198637008667,0.2789662778377533,0.36498355865478516,0.4713767468929291,0.04744943976402283,0.34484609961509705,0.07707707583904266,0.5110750198364258,0.2927585542201996,0.5241894721984863,0.08166885375976562,0.52138352394104,0.3922352194786072,0.616767406463623,0.21533697843551636,0.6193950176239014,0.13991641998291016,0.4650927186012268,0.04339849203824997,0.5157924890518188,0.18810026347637177,0.7700254917144775,0.17949002981185913,0.7502605319023132
15,0.02191050350666046,0.3226386308670044,0.2866463363170624,0.2838444113731384,0.3333488702774048,0.47131794691085815,0.05677865445613861,0.34213826060295105,0.058537036180496216,0.5063988566398621,0.23556110262870789,0.48509523272514343,0.03565629944205284,0.36381399631500244,0.40716752409935,0.5939767360687256,0.2163010835647583,0.6016254425048828,0.13928937911987305,0.4664369821548462,0.04646804556250572,0.5146151185035706,0.20085756480693817,0.7437471151351929,0.18299123644828796,0.746914803981781
16,0.02238389477133751,0.32395726442337036,0.2891174554824829,0.2832624912261963,0.31676697731018066,0.5183471441268921,0.044232361018657684,0.36197108030319214,0.05238126963376999,0.5436223745346069,0.21908998489379883,0.6456317901611328,0.04934556409716606,0.5583406686782837,0.40633100271224976,0.6156190037727356,0.21950221061706543,0.6256023049354553,0.13622574508190155,0.49665993452072144,0.04522842913866043,0.5363243222236633,0.20492051541805267,0.7403818964958191,0.20253679156303406,0.7447249889373779
17,0.016452675685286522,0.33149129152297974,0.2885471284389496,0.2855604588985443,0.3237479627132416,0.5146494507789612,0.05298861861228943,0.3554881513118744,0.0549156479537487,0.5295788645744324,0.22898149490356445,0.6591839790344238,0.05250918120145798,0.5777521133422852,0.4180527627468109,0.6154487729072571,0.21494051814079285,0.6067835688591003,0.14148662984371185,0.44271689653396606,0.03161059319972992,0.5155088901519775,0.17862173914909363,0.7863056063652039,0.1503472626209259,0.7714724540710449
18,0.01356557011604309,0.336418479681015,0.28987306356430054,0.29443883895874023,0.3547911047935486,0.4942888915538788,0.053763698786497116,0.359098881483078,0.049810588359832764,0.5313428640365601,0.2508995831012726,0.6426965594291687,0.022757520899176598,0.5598556995391846,0.40704745054244995,0.628845751285553,0.23006539046764374,0.6220381259918213,0.1355675905942917,0.48839902877807617,0.041661493480205536,0.5351198315620422,0.17305970191955566,0.8022427558898926,0.15962567925453186,0.7861833572387695
19,0.012363503687083721,0.3418256938457489,0.2932453155517578,0.28736478090286255,0.3414686620235443,0.519517719745636,0.031118502840399742,0.3675125241279602,0.043006449937820435,0.5566499829292297,0.24730464816093445,0.6786627769470215,0.06898564845323563,0.6126010417938232,0.3988083004951477,0.6328881978988647,0.2150791883468628,0.6477189660072327,0.1271832138299942,0.5931441783905029,0.028167247772216797,0.6162856221199036,0.18392477929592133,0.7641400098800659,0.19289414584636688,0.762162446975708
